doctor_id,name,specialization,phone_number,email,availability
1,Dr. Kevin Clark,Orthopedics,780-555-1001,k.clark@clinic.ca,Tue/Thu 13:00-17:00
2,Dr. Christopher Jackson,Nephrology,780-555-1002,c.jackson@clinic.ca,Tue/Thu 09:00-12:00
3,Dr. Betty Green,Psychiatry,780-555-1003,b.green@clinic.ca,Tue/Thu 13:00-17:00
4,Dr. Patricia Ramirez,Neurology,780-555-1004,p.ramirez@clinic.ca,Mon-Fri 08:00-10:00
5,Dr. Daniel Wilson,Pulmonology,780-555-1005,d.wilson@clinic.ca,Mon/Wed/Fri 09:00-12:00
6,Dr. Lisa Anderson,Dermatology,780-555-1006,l.anderson@clinic.ca,Mon/Wed 14:00-18:00
7,Dr. Ruth Scott,Pulmonology,780-555-1007,r.scott@clinic.ca,Tue/Thu 09:00-12:00
8,Dr. Maria Lewis,Nephrology,780-555-1008,m.lewis@clinic.ca,Fri 10:00-14:00
9,Dr. Mark Lee,Oncology,780-555-1009,m.lee@clinic.ca,Tue/Thu 09:00-12:00
10,Dr. Patricia Flores,Psychiatry,780-555-1010,p.flores@clinic.ca,Mon/Wed 14:00-18:00
11,Dr. Charles Wong,Oncology,780-555-1011,c.wong@clinic.ca,Mon-Fri 08:00-10:00
12,Dr. Thomas Perez,Gastroenterology,780-555-1012,t.perez@clinic.ca,Fri 10:00-14:00
13,Dr. Brian Perez,Pediatrics,780-555-1013,b.perez@clinic.ca,Tue/Thu 13:00-17:00
14,Dr. James Thompson,Rheumatology,780-555-1014,j.thompson@clinic.ca,Fri 10:00-14:00
15,Dr. Michael Sanchez,Nephrology,780-555-1015,m.sanchez@clinic.ca,Fri 10:00-14:00
16,Dr. Helen Taylor,ENT,780-555-1016,h.taylor@clinic.ca,Tue/Thu 13:00-17:00
17,Dr. Carol King,Gastroenterology,780-555-1017,c.king@clinic.ca,Tue/Thu 09:00-12:00
18,Dr. Patricia Thomas,ENT,780-555-1018,p.thomas@clinic.ca,Mon/Wed/Fri 09:00-12:00
19,Dr. Raj Wright,Rheumatology,780-555-1019,r.wright@clinic.ca,Tue/Thu 09:00-12:00
20,Dr. Brian Chen,Ophthalmology,780-555-1020,b.chen@clinic.ca,Mon-Fri 08:00-10:00
21,Dr. Robert Martin,Urology,780-555-1021,r.martin@clinic.ca,Tue/Thu 13:00-17:00
22,Dr. Andrew Walker,Endocrinology,780-555-1022,a.walker@clinic.ca,Tue/Thu 09:00-12:00
23,Dr. Mark White,Urology,780-555-1023,m.white@clinic.ca,Mon/Wed/Fri 09:00-12:00
24,Dr. Jennifer Jackson,Gastroenterology,780-555-1024,j.jackson@clinic.ca,Fri 10:00-14:00
25,Dr. Jennifer Ramirez,Oncology,780-555-1025,j.ramirez@clinic.ca,Mon/Wed 14:00-18:00
26,Dr. Olivia Chen,Cardiology,780-555-1026,o.chen@clinic.ca,Tue/Thu 09:00-12:00
27,Dr. Ruth Hill,Ophthalmology,780-555-1027,r.hill@clinic.ca,Mon-Fri 08:00-10:00
28,Dr. Raj Patel,Rheumatology,780-555-1028,r.patel@clinic.ca,Mon-Fri 08:00-10:00
29,Dr. Karen Robinson,Orthopedics,780-555-1029,k.robinson@clinic.ca,Mon-Fri 08:00-10:00
30,Dr. David Allen,Gastroenterology,780-555-1030,d.allen@clinic.ca,Mon/Wed 14:00-18:00
31,Dr. Sandra Davis,Pediatrics,780-555-1031,s.davis@clinic.ca,Mon-Fri 08:00-10:00
32,Dr. Andrew Walker,Endocrinology,780-555-1032,a.walker@clinic.ca,Mon/Wed 14:00-18:00
33,Dr. Matthew Adams,ENT,780-555-1033,m.adams@clinic.ca,Mon-Fri 08:00-10:00
34,Dr. Sharon Lopez,Rheumatology,780-555-1034,s.lopez@clinic.ca,Tue/Thu 09:00-12:00
35,Dr. Susan Smith,Oncology,780-555-1035,s.smith@clinic.ca,Mon/Wed/Fri 09:00-12:00
36,Dr. Carol Chen,Endocrinology,780-555-1036,c.chen@clinic.ca,Mon/Wed/Fri 09:00-12:00
37,Dr. John Lee,Oncology,780-555-1037,j.lee@clinic.ca,Fri 10:00-14:00
38,Dr. Carol Lewis,Pediatrics,780-555-1038,c.lewis@clinic.ca,Tue/Thu 13:00-17:00
39,Dr. Anthony Nguyen,ENT,780-555-1039,a.nguyen@clinic.ca,Mon/Wed/Fri 09:00-12:00
40,Dr. Susan Nguyen,Ophthalmology,780-555-1040,s.nguyen@clinic.ca,Tue/Thu 09:00-12:00
